job_title,role,industry
 Sales Engineer,After Sales Service,"Construction, Engineering, Cement, Metals"
 Content Writer,Content Development,"IT-Software, Software Services"
 Medical Analyst,Medical Professional,"Medical, Healthcare, Hospitals"
 Cluster Manager - Credit Operations/Senior Cluster Manager,Retail/Personal Banking,"Banking, Financial Services, Broking"
 Software Engineer,Programming & Design,"IT-Software, Software Services"
 Assistant Manager Finance & Accounts,Finance/Audit,"Medical, Healthcare, Hospitals"
 Application engineer / Web Developer,Programming & Design,"Media, Entertainment, Internet"
" Require Accounts Executive from Real Estate , Aundh Location",Accounts,"Real Estate, Property"
 Pipeline Engineer,Engineering Design,"Construction, Engineering, Cement, Metals"
 Regional Marketing Head - Rural Health Channel - Health Insurance Co.,Sales Support,Insurance
 Sales Executive,Retail Sales,"IT-Software, Software Services"
 iOS Developer,Programming & Design,"IT-Software, Software Services"
" Brand Executive , Mumbai 1-4 Years",Advertising,"Medical, Healthcare, Hospitals"
" Senior Developer "" Front Office Technology",Programming & Design,"IT-Software, Software Services"
BTN Engineer,Telecom,Courier / Transportation / Freight / Warehousing
 Walk-in For Web Designers ( Only For Males ),Programming & Design,"IT-Software, Software Services"
 Devops Engineer - Linux/ Unix Administration,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Product Sales Manager,Life Insurance/Financial Services,"Banking, Financial Services, Broking"
 Web/ GUI Designer,Creative,"IT-Software, Software Services"
 Inbound/Outbound Website Seller in International BPO-US Shift,Voice,"IT-Software, Software Services"
 PHP Developer,Programming & Design,"IT-Software, Software Services"
 Tele callers for handling corporate accounts,Sales Support,"IT-Software, Software Services"
,,
 Business Associate / Sr . Business Associate,Voice,"Advertising, PR, MR, Event Management"
 SAP ABAP Consultant (contract),System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
 NET Developer + SQL ( 2 Years To 6 Years ),Programming & Design,"IT-Software, Software Services"
 Marketing,Marketing,"Recruitment, Staffing"
 Science Teacher,Teachers,"Internet, Ecommerce"
 Gm-global Mobility -rewards -finance-ca-mumbai,Accounts,"Construction, Engineering, Cement, Metals"
 Walk in for Hub Executive at Bhiwandi,Logistics,"Courier, Transportation, Freight , Warehousing"
 Inbound process associate,Voice,"IT-Software, Software Services"
 Technical Person (Electronics),Programming & Design,"Recruitment, Staffing"
 Sr Developer,Programming & Design,"Strategy, Management Consulting Firms"
 Account Executive,Accounts,"BPO, Call Centre, ITeS"
 Android Developer - Application Designing & Integration,Programming & Design,"IT-Software, Software Services"
 Email Marketing Executive,Programming & Design,"IT-Software, Software Services"
 Electrical Engineer,Engineering Design,"Industrial Products, Heavy Machinery"
 MS Dynamics Axapta,Programming & Design,"IT-Software, Software Services"
 Web / Graphic Designers,Creative,"IT-Software, Software Services"
 Ui/ux Developer,Programming & Design,"IT-Software, Software Services"
 General Manager - Sales,Senior Management,"Banking, Financial Services, Broking"
 System Integration Developer,Programming & Design,"Construction, Engineering, Cement, Metals"
AGM – Direct Taxes,Senior Management,Construction / Engineering / Cement / Metals
 HUGE Opening in intl bpo Voice Tech/customer Support (Night Shift),Voice,"IT-Software, Software Services"
 Manager- Soft Services,Administration/Facility Management,"Real Estate, Property"
 Urgent opening in outbound Voice Process for Website Selling,Voice,"IT-Software, Software Services"
 Frontend Developer - Javascript/bootstrap/angularjs,Programming & Design,"IT-Software, Software Services"
" SAP ABAP GTS Consultant Pune, Hyderabad, Bangalore,noida",Programming & Design,"IT-Software, Software Services"
 Career Opportunity for Chef,Food & Beverage,Facility Management
 Assistant Manager HR,HR/ Recruitment / IR,"Travel , Hotels , Restaurants , Airlines , Railways"
 Team Leader,Voice,"Accounting, Finance"
 Sales Manager,Retail Sales,"IT-Software, Software Services"
 Quality Inspectors,Production/Manufacturing/Maintenance,"Industrial Products, Heavy Machinery"
Enterprise Network Operations,Admin/Maintenance/Security/Datawarehousing,IT-Software / Software Services
 Ruby on Rails Developer - Html/ CSS/ JavaScript,Programming & Design,"IT-Software, Software Services"
 Data Scientist,Analytics & BI,"Semiconductors, Electronics"
 Assembly Manager - Heavy Fabrication Industry @ Ahmedabad,Production/Manufacturing/Maintenance,"Industrial Products, Heavy Machinery"
 Magento Developer - Php/mysql,Programming & Design,"IT-Software, Software Services"
 Senior Designer - Home Furnishing - Noida,Designer,"Textiles, Garments, Accessories"
 Junior .Net Developer,Programming & Design,"KPO, Research, Analytics"
 IT Recruiter || Captive Aide || Walkin 19th June/21st June,HR/ Recruitment / IR,"Recruitment, Staffing"
" Hiring Non Voice Process for E-commerce, Telecom , Travel",Back Office/Web/Transaction Processing,"Strategy, Management Consulting Firms"
 Opening for Account /cost Accountant for Leading Packing Machine MNC C,Accounts,"Industrial Products, Heavy Machinery"
 Manager - HSEQ,Safety/Health/Environment,Facility Management
 Urgent Opening For Content Writer,Other,"Strategy, Management Consulting Firms"
 BPO - Hiring For UK Telecom Chat Process Salary - 35K,Voice,"BPO, Call Centre, ITeS"
 Business Development Executives,Corporate Sales,"Recruitment, Staffing"
" Urgent Opening : Associate Manager, Clin Systems",,"Pharma, Biotech, Clinical Research"
 Development & Grooming- Dean,University Level,"Education, Teaching, Training"
 Database Migration Specialist,Programming & Design,"IT-Software, Software Services"
 Associate Agency Development Manager,General Insurance,Insurance
 Hiring Freshers||business Development Executives & Managers,Retail Sales,"Real Estate, Property"
 PGT (Hindi) (Vacancy-1),,"Education, Teaching, Training"
 Manager - Sales - General Insurance,Life Insurance/Financial Services,Insurance
 Engineer ( QS/ Billing),Site Engineering,"Construction, Engineering, Cement, Metals"
 Accountant,Accounts,"Internet, Ecommerce"
 Data Base Developer,Programming & Design,"IT-Software, Software Services"
 Duty Medical Officer,Medical Professional,"Medical, Healthcare, Hospitals"
" NAV Functional Consultant - Urgent Req. @ Intech Systems,ahmedabad",System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
 Sales Executive Male,HR/ Recruitment / IR,IT-Hardware & Networking
 Sales Planning and Strategy Advisor,After Sales Service,"IT-Software, Software Services"
 Mega Job Opening at Banking Sales - Pimpri Chinchwad,Retail Sales,"Banking, Financial Services, Broking"
 Sales Head,Senior Management,"Banking, Financial Services, Broking"
 Python Web Developer - Django,Programming & Design,"IT-Software, Software Services"
 Full Stack Developer - PHP,Programming & Design,"Advertising, PR, MR, Event Management"
 Assistant Professor (Grade I)-Physics,,"Education, Teaching, Training"
 Urgently Required Assistant Manager - Travel Desk,Administration/Facility Management,"Pharma, Biotech, Clinical Research"
 Senior Java Developer,Programming & Design,"Real Estate, Property"
 Director - Human Resource - Iim/mdi/isb/fms,Senior Management,"FMCG, Foods, Beverage"
 Mega Walkin For Tech Support with Good Package!!! Meet HR VEER,Voice,"BPO, Call Centre, ITeS"
Sr Yield Eng - Electrical Char & Ops Support,Production/Manufacturing/Maintenance,Industrial Products / Heavy Machinery
 Business Development,Corporate Sales,"Education, Teaching, Training"
 HIRING for Tech Support Process.....Inbound,Voice,"IT-Software, Software Services"
" Backend Developer [node Js, Python",Programming & Design,"IT-Software, Software Services"
 Software Engineer,Programming & Design,"IT-Software, Software Services"
 Backend Developer,Programming & Design,"Courier, Transportation, Freight , Warehousing"
 SoC Low - Power Design Manager,Senior Management,"Semiconductors, Electronics"
 Residential Sales Representatives/sales Executives,Institutional Sales,Medical Devices / Equipments
 Senior Executive / Junior Manager - Green House,,"Agriculture, Dairy"
" Deputy Manager Taxation,",Accounts,"Ceramics, Sanitary ware"
 Cofounder/ CTO - Technology Function - IIT,Senior Management,"IT-Software, Software Services"
 Fleet of Modern Oil/Chemical Tankers,Institutional Sales,"FMCG, Foods, Beverage"
 Business Development Executive - International Sales,Corporate Sales,"BPO, Call Centre, ITeS"
 Software Engineer Lead (G1),Programming & Design,"IT-Software, Software Services"
 Financial Analyst III,Finance/Audit,"IT-Software, Software Services"
 Technical Lead - MEAN Stack,Programming & Design,"IT-Software, Software Services"
 Production Engineer,Production/Manufacturing/Maintenance,"Oil and Gas, Energy, Power, Infrastructure"
 Manager - Corporate Sales - Employee Benefits Solutions,Corporate Sales,"IT-Software, Software Services"
 Team Leader,Voice,"IT-Software, Software Services"
 Hiring For International Bpo||kpo Fix Shift||salary-3.50lpa,Voice,"BPO, Call Centre, ITeS"
 Retail Operations Manager || 8+ Yrs || Gurgaon,Senior Management,"Retail, Wholesale"
 Ramp Handlers,Logistics,Legal
 Client Relationship Partner,Retail/Personal Banking,"Banking, Financial Services, Broking"
 Software Development Engineer 1 - Ruby on Rails,Programming & Design,"Construction, Engineering, Cement, Metals"
 Analyst,Programming & Design,"BPO, Call Centre, ITeS"
 Executive - Sales - Healthcare,Retail Sales,"Medical, Healthcare, Hospitals"
 Regional Sales Manager - Pune,Corporate Sales,"Recruitment, Staffing"
 Technical Sales || Technical Sales Executive || PPC Calls only,Voice,"BPO, Call Centre, ITeS"
 Sr Analyst - Financial Planning & Analysis,Finance/Audit,"Banking, Financial Services, Broking"
 Undergraduate Candidates-business Development Executive-top Banks,HR/ Recruitment / IR,"Banking, Financial Services, Broking"
Executive - Video,Production/Technical,Strategy / Management Consulting Firms
 Creative Visualiser,Creative,"Travel , Hotels , Restaurants , Airlines , Railways"
 Rural Management- Professor,University Level,"Education, Teaching, Training"
 BD Manager - Property Acquisition || Retail Company || Delhi,Retail Sales,"Retail, Wholesale"
 Opening For Web Designer For Andheri Location ,Creative,"Travel , Hotels , Restaurants , Airlines , Railways"
 Head - Digital Marketing,Senior Management,"IT-Software, Software Services"
 Need UI Developers For Singapore & Malaysia,Programming & Design,"IT-Software, Software Services"
 Sales Executive,Retail Sales,"IT-Software, Software Services"
 Samsung! Hiring for Survey Process/ Gurgaon/ Dayshifts/ Sal 23k,Voice,"BPO, Call Centre, ITeS"
 Chinese Chef,,"Travel , Hotels , Restaurants , Airlines , Railways"
 Graphic Designer,Creative,"Media, Entertainment, Internet"
 Fix Shift/ Weekends Off / Sal-30k / Voice Process Call Now,Voice,"BPO, Call Centre, ITeS"
 Looking For Finance Executives,Finance/Audit,"Banking, Financial Services, Broking"
Office Assistant / Computer Operator,"Amity University, the flagship institution of Amity Education Group, is IndiaÃ¢â‚¬â„¢s no. 1 ranked not-for-profit private University with a strong focus on research and innovation. It has been recognised as IndiaÃ¢â‚¬â„¢s Best Research University by the Indian Education Awards 2014 and was also ranked by QS and THE (The Higher Education) among the top 3% Universities globally. Amity has set a new standard of academic excellence in India by becoming AsiaÃ¢â‚¬â„¢s only not-for-profit university to be awarded US Regional Accreditation by WASC Senior College and University Commission, USA Ã¢â‚¬"" considered the Gold Standard of Accreditations globally The Group since its inception, about 2 decades ago, has established 10 Universities and 26 schools with campuses across London, Singapore, Dubai, New York, Seattle, San Francisco, Mauritius, China, Abu Dhabi, Amsterdam, South Africa, Nairobi and Romania, besides India and is home to over 150,000 students pursuing world-class education from Prenursery to Ph.D. The Amity faculty has filed over 100 patents Ã¢â‚¬""the highest number filed by any Indian University. It has also developed over 2400 case studies, bought by leading institutions across 99 countries. Amity has instituted an extensive Scholarship Programme benefitting over 25,000 students so far. This pursuit of excellence has also resulted in Amity Institutes being ranked among the very top in India in areas of Management, Engineering, Biotechnology, Hospitality, Law, Mass Comm, Insurance and Telecom in various prestigious surveys.",Education / Teaching / Training
 Trainer and Product Specialists,Operations,"Education, Teaching, Training"
 Professional Details,Programming & Design,"IT-Software, Software Services"
Associate Director,Senior Management,Accounting / Finance
 Logistics Jobs In Gurgaon Warehouse And Logistics,Logistics,"Recruitment, Staffing"
 ERP Coordinator- PeopleSoft,Programming & Design,"Education, Teaching, Training"
 Statistical Programmer || Pharma Domain || Chennai,Programming & Design,"IT-Software, Software Services"
 PHP Developer,Programming & Design,"Recruitment, Staffing"
 Dot Net Developer,Programming & Design,"IT-Software, Software Services"
 Construction Manager - Pipeline & Station Works,Site Engineering,"Construction, Engineering, Cement, Metals"
 Counsellor,Teachers,"Education, Teaching, Training"
 Telecom Security Consultant / Mobile Application Security,Programming & Design,"IT-Software, Software Services"
 Information Systems and Management- Assistant Professor,University Level,"Education, Teaching, Training"
 .3081 _ IOS Developer _ Pune (Contract),Programming & Design,"IT-Software, Software Services"
" Procurement Commercial Architect - Solution Sales, CoC",Purchase/Material Management,"IT-Software, Software Services"
 Sr. Analyst - Digital,Programming & Design,"Advertising, PR, MR, Event Management"
" SEO Analyst, Search Engine Optimization Executive",Online/Digital Marketing,"Internet, Ecommerce"
 Hiring For Telesales !!! Call Mayank,Institutional Sales,"BPO, Call Centre, ITeS"
 Web Developer,Programming & Design,"Media, Entertainment, Internet"
 Java-Technical Lead,Programming & Design,"IT-Software, Software Services"
 Java Developer-interview on this Saturday,Programming & Design,"IT-Software, Software Services"
 Hiring For Email Process For Day Shift,Voice,"BPO, Call Centre, ITeS"
Monitoring Engineer,Admin/Maintenance/Security/Datawarehousing,IT-Software / Software Services
 Senior Software Developer - Microsoft Technologies - .Net,Programming & Design,"IT-Software, Software Services"
 Urgent Hiring B.tech & M.b.a - HR IT Recruiter- Part Time - Female,Voice,"BPO, Call Centre, ITeS"
 Appian Developer,Programming & Design,"IT-Software, Software Services"
 Senior Biostatistician,R&D,"Medical, Healthcare, Hospitals"
 SM/AVP : Assistant Relationship Manager ?? MME (Commercial Banking),,"Banking, Financial Services, Broking"
Great Opportunity For SQL Server Developer - Chennai,Programming & Design,IT-Software / Software Services
" Merchandiser, Female Only, kids Garment, 3yrs+,25k, Bangalore",Retail Sales,"Textiles, Garments, Accessories"
 Assistant Manager - Digital Sales -fresher-chennai & Coimbatore,Retail Sales,"Banking, Financial Services, Broking"
 AGM - IE ( Knits ) for One of the Biggest Apparel Manufacturer.,Production/Manufacturing/Maintenance,"Textiles, Garments, Accessories"
BPM Developer,Programming & Design,IT-Software / Software Services
 FSS AtR Specialist,Programming & Design,"BPO, Call Centre, ITeS"
 English Editor,Journalist/Writer,Publishing
 Systems Engineer - Linux,Programming & Design,"Banking, Financial Services, Broking"
 Desktop Support,Admin/Maintenance/Security/Datawarehousing,"Recruitment, Staffing"
Tech Lead,Programming & Design,IT-Software / Software Services
"Walk-in For B.tech/mba Freshers on 3rd August, Saturday","Net2Source Inc. is one of the fastest growing Global Workforce Solutions company. We specialize in Contingent hiring, Direct Hires, Statement of Work, Payroll Management, IC Compliance, VMS, RPO and Managed IT Services. 375+ In- house Team of Sales, Account Management and Recruitment with coast to coast COE * 1280+ contractors on billing * 30+ offices in US * Operations in 20 countries (US, APAC, UK, UAE, Europe, Canada, Mexico)",Recruitment / Staffing
 Required Android Developers(2-4 yrs),Programming & Design,"IT-Software, Software Services"
 Associate Professor - Organic Chemistry,,"Education, Teaching, Training"
 Urgent Requirement - L2 TSN/AVB Tester for leading MNC,Other,"Strategy, Management Consulting Firms"
 Specialist,Voice,"Banking, Financial Services, Broking"
 Sr. Executive HR (trainings),Teachers,"Chemicals, PetroChemical, Plastic, Rubber"
 Package Consultant: SAP HANA SCM PLM,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
" Asst. Manager Project Mgmt, Crams- Pharma Mumbai",Project Management,"Recruitment, Staffing"
 Software Engineer (Job code: SE01 - 20130501),Programming & Design,"IT-Software, Software Services"
 Software Developer,Programming & Design,"IT-Software, Software Services"
" ASP .Net Develper (C#, MVC) - Kothrud",Programming & Design,"IT-Software, Software Services"
 Accounts Executive Accountant Inter CA,Accounts,"Recruitment, Staffing"
 NOC Tech L2,Telecom,"Recruitment, Staffing"
 PHP Developer,Programming & Design,"IT-Software, Software Services"
 Epub Developer,Programming & Design,"Media, Entertainment, Internet"
 Recruitment Associate,HR/ Recruitment / IR,"Recruitment, Staffing"
 Research Consultant,Senior Management,"IT-Software, Software Services"
 Hiring Technicain (iti) - Mechanical /electrical/bike/automobile/rac,Other,"FMCG, Foods, Beverage"
 Associate/Senior Associate Finance,Accounts,"IT-Software, Software Services"
 SAP ABAP Consultant,Programming & Design,"IT-Software, Software Services"
 Manage - Corporate Communication - Music Industry,Marketing,"Accounting, Finance"
 Engineer - Non Catalogued,Technical Support,"IT-Software, Software Services"
User Interface Design and Development,Programming & Design,IT-Software / Software Services
 Inbound Tech Support Process,Voice,"IT-Software, Software Services"
 HP Exstream developer,Programming & Design,"IT-Software, Software Services"
 Accounts Executive,Accounts,"Export, Import"
 Product Support Specialist L2 - ITIL,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
"Mega Drive with Mphasis For Non Voice Process || 29 Jul ||,",Back Office/Web/Transaction Processing,BPO / Call Centre / ITES
 Front Desk Executive,,"Banking, Financial Services, Broking"
 Deputy Manager/Manager Indirect Taxation,Accounts,"Construction, Engineering, Cement, Metals"
 Hiring for Bdm/executive Position-inside Sales,Operations,"IT-Software, Software Services"
 Cyber Security Practice Leader,Programming & Design,"Strategy, Management Consulting Firms"
 Sr. TPM,Production/Manufacturing/Maintenance,"IT-Software, Software Services"
 Procurement Engineer/ Officer,Purchase/Material Management,"Water Treatment, Waste Management"
 Team Lead / Senior Product Engineer - .net/asp/c#,Programming & Design,"IT-Software, Software Services"
 Sales Executives,Retail Sales,"Internet, Ecommerce"
 Neuroscience- Professor,University Level,"Education, Teaching, Training"
 Sr. Developer,Programming & Design,"IT-Software, Software Services"
 SOFTWARE SUPPORT - JUNIOR,Programming & Design,"Media, Entertainment, Internet"
 Oracle Trainer,Other,"IT-Software, Software Services"
 Technical Leader,Programming & Design,"IT-Software, Software Services"
,,
 Interpreter - Belarusian,,"Education, Teaching, Training"
 Graphic Designer,Creative,"IT-Software, Software Services"
 Presales Eng Manager - Large projects,Corporate Sales,"Construction, Engineering, Cement, Metals"
 Team Lead Pick up,Programming & Design,"Strategy, Management Consulting Firms"
 Executive- Placements,Marketing,"IT-Software, Software Services"
 Analytics Lead,Operations,"KPO, Research, Analytics"
 Senior Procurement Specialist Analyst Pharma,Corporate Planning/Consulting/Strategy,"Strategy, Management Consulting Firms"
 Hospital Networking Executive,Medical Professional,"Medical, Healthcare, Hospitals"
 RFP Project specialist,Other,"KPO, Research, Analytics"
 Sr. Engineer Creo,Production/Manufacturing/Maintenance,"Automobile, Auto Anciliary, Auto Components"
 Sr RPA Developer Automation Playbook || Bangalore || Immediate Start,Programming & Design,"IT-Software, Software Services"
 Assistant Professor - Telecom Systems Management,,"Education, Teaching, Training"
 Senior Sales Executive,Retail Sales,"Recruitment, Staffing"
 Graphic/Web Designer,Programming & Design,"IT-Software, Software Services"
 Senior Manager- Fraud Investigation,Senior Management,"IT-Software, Software Services"
 Manager - Account Management & Sales,Retail Sales,"IT-Software, Software Services"
 Marketing Executive,Marketing,"Industrial Products, Heavy Machinery"
 Technical Lead .NET ,Programming & Design,"IT-Software, Software Services"
 Analyst / Associate- Internal Audit ( Corporate Audit),Finance/Audit,"Recruitment, Staffing"
 Project Engineer,Engineering Design,"Recruitment, Staffing"
 Forensic Science- Professor,University Level,"Education, Teaching, Training"
 DEO (FMCG WAREHOUSE BACKGROUND),,"FMCG, Foods, Beverage"
 IT Recruiter / HR Recruiter / Technical Recruiter / Recruiter,HR/ Recruitment / IR,"Recruitment, Staffing"
 Assistant Manager Finance,Finance/Audit,"Automobile, Auto Anciliary, Auto Components"
 Senior Actuarial Analyst,Life Insurance/Financial Services,"KPO, Research, Analytics"
 Finance Manager Retail Loans,Finance/Audit,"Recruitment, Staffing"
 PCB Design Engineers,Engineering Design,"Semiconductors, Electronics"
 Head Corporate Finance,Senior Management,"Recruitment, Staffing"
 Head HR CRD,Senior Management,"Recruitment, Staffing"
 Collection Executive,Voice,"BPO, Call Centre, ITeS"
 Project Manager with 8 10 Years of Professional Experience,Project Management,"Construction, Engineering, Cement, Metals"
 Business Development Manager -solar Project Sales-gurgaon,Retail Sales,"Oil and Gas, Energy, Power, Infrastructure"
 Assistant Professor (Grade I)-Creativity And Innovation,,"Education, Teaching, Training"
 Online Bidder,Back Office/Web/Transaction Processing,"Media, Entertainment, Internet"
 Area Manager,Retail Sales,"IT-Software, Software Services"
 Business Development Manager,Corporate Sales,"Architecture, Interior Design"
 Associate / Executive,Accounts,"Recruitment, Staffing"
 Commis Chef/service Partner,Food & Beverage,"FMCG, Foods, Beverage"
 Java Developer,Programming & Design,"IT-Software, Software Services"
 Data Transfer operator,Programming & Design,"IT-Software, Software Services"
 Accounts Executive,Accounts,"Real Estate, Property"
"Scientist, Clinical & Medical Operations",R&D,Pharma / Biotech / Clinical Research
 ERP Solution Consultant,System Design/Implementation/ERP/CRM,"Recruitment, Staffing"
 Project Office Manager,Project Management,"Pharma, Biotech, Clinical Research"
 Software Engineer,Programming & Design,"Recruitment, Staffing"
 Markets Client Strategy,Back Office/Web/Transaction Processing,"Recruitment, Staffing"
 HR Retainer,Other,"Internet, Ecommerce"
 Dot net developer,Programming & Design,"Recruitment, Staffing"
 Inbound Tech/UK Shift,Voice,"IT-Software, Software Services"
 HR & Admin Astt for Largest Realty Brokerage Company at Andheri,Administration/Facility Management,"Real Estate, Property"
 School Relation Officer,Retail Sales,"Education, Teaching, Training"
 Senior Software Engineer,Programming & Design,"Office Equipment, Automation"
 Hiring Graphic Designer For one of the Leading food Chain Restaurant,Creative,"Travel , Hotels , Restaurants , Airlines , Railways"
 BPO - Semi Voice (90% Non Voice) Process - Email & Chat,Voice,"BPO, Call Centre, ITeS"
 Deputy Manager - SAP - FI/ CO,System Design/Implementation/ERP/CRM,"Strategy, Management Consulting Firms"
 Java developer,Programming & Design,"IT-Software, Software Services"
 Php and MySql Developer,Programming & Design,"IT-Software, Software Services"
 Senior Executive / Assistant Manager - sales,Retail Sales,"Recruitment, Staffing"
 Senior HR Executive,HR/ Recruitment / IR,"Chemicals, PetroChemical, Plastic, Rubber"
 Symantec Endpoint Protection,,"IT-Software, Software Services"
 Account Manager (XT-0019-N1C),Accounts,"Internet, Ecommerce"
 Need 10th/12th Pass Freshers For Call Center | BPO | Data Entry | CCE,Other,"BPO, Call Centre, ITeS"
Sr Engineer Frame Design Engn,IT Hardware,Semiconductors / Electronics
 Application Developer: Experience Front End,Programming & Design,"IT-Software, Software Services"
 Sr. Student Relationship Manager (Counselor) – USA,Retail Sales,"Education, Teaching, Training"
 Assistant Manager Operations,Retail Sales,"Media, Entertainment, Internet"
 Profile BFS - Group AA,Card Products,"BPO, Call Centre, ITeS"
 java Developer,Programming & Design,"IT-Software, Software Services"
 Javascript Developer,Programming & Design,"IT-Software, Software Services"
,,
 Copy Writer,Creative,"Advertising, PR, MR, Event Management"
 Service Engineer/process Engineer at Ghaziabad Location,Production/Manufacturing/Maintenance,"Water Treatment, Waste Management"
 Executive ,Retail Sales,"Education, Teaching, Training"
 Opening For Payment Collection Executive,Voice,"Pharma, Biotech, Clinical Research"
 Regional / Zonal Sales Manager,Retail Sales,Food Processing
 Microsoft Dynamics CRM Technical,Programming & Design,"IT-Software, Software Services"
 Immediate Hiring For International BPO/ Captive UNIT,Voice,"BPO, Call Centre, ITeS"
 Intern for the post of Business Analyst - IT (6 Months),Other,"Fresher, Trainee, Entry Level"
 Urgent Opening For CA- Freshers,Accounts,"Accounting, Finance"
 Pega Lead Consultant - PRPC - Cssa/ CLSA Certified,Programming & Design,"IT-Software, Software Services"
 Urgent Opening For Project Manager_kapturecrm,Operations,"IT-Software, Software Services"
,,
 Telemarketing Customer Executive Corporate pay up To 35k,Voice,"Travel , Hotels , Restaurants , Airlines , Railways"
 Walk-in Drive for Sales Executive,Retail Sales,Insurance
 Inbound Customer Service - Leading Bank - Noida (No Sales),Voice,"Banking, Financial Services, Broking"
 Writer &amp; Jr. Writer,Content Development,"IT-Software, Software Services"
 Hiring Assistant Manager Sales-4+exp in Logistic,Retail Sales,"Courier, Transportation, Freight , Warehousing"
 Associate Manager / Manager Data Scientist,R&D,"Recruitment, Staffing"
 Plant Manager,Other,"Construction, Engineering, Cement, Metals"
 Medical Coder Fresher Jobs- 2019 Lifescience & Paramedical Grads,Medical Professional,"Medical, Healthcare, Hospitals"
,,
 Sales Coordinator - Female Kubadthal / Kathwada,Retail Sales,"Recruitment, Staffing"
 Sr. Sales Engineer,Corporate Sales,"Industrial Products, Heavy Machinery"
 Senior Software Engineer Java,Programming & Design,"Telcom, ISP"
 Testing,Programming & Design,"IT-Software, Software Services"
 Expert,Programming & Design,"IT-Software, Software Services"
 Hiring for Google Adwords / B2B Voice Process/ Gurgaon / Salary 32K,Voice,"BPO, Call Centre, ITeS"
 Full Stack Developer,Programming & Design,"Telcom, ISP"
 Amazon Captive Hiring For Chat/ Voice Profiles - Salary up To 25k+inc.,Voice,"BPO, Call Centre, ITeS"
 Recruitment Consultant / Senior Executive Recruitment,HR/ Recruitment / IR,"Retail, Wholesale"
 American Express is Hiring for Fraud Analyst- Day Shift Profile,Voice,"BPO, Call Centre, ITeS"
 Accounts Executive,Accounts,"Telcom, ISP"
 Automation Tester - Selenium,Programming & Design,"IT-Software, Software Services"
 HR Executive-male Candidates Only-day Shifts,HR/ Recruitment / IR,"BPO, Call Centre, ITeS"
 Customer Care BPO Executive,Voice,"Real Estate, Property"
 Product Manager,Marketing,"IT-Software, Software Services"
 Head Marketing,Senior Management,"FMCG, Foods, Beverage"
 Structural Engineer 6,Engineering Design,"BPO, Call Centre, ITeS"
" Bulk "" Bpo's Hiring"" Gurgaon! udog Vihar 4/ Fixed Shift/day/night",Other,"Fresher, Trainee, Entry Level"
 Chef/cook ( Bengali/chinse) For Jadavpur Location,Food & Beverage,"Travel , Hotels , Restaurants , Airlines , Railways"
 Sales Executive,Retail Sales,"Automobile, Auto Anciliary, Auto Components"
 SAP Solution Manager,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
Devops Architect @ Harman,Programming & Design,IT-Software / Software Services
 Senior Consultant - SAS + SQL - Banking - Iit/dse/isi,System Design/Implementation/ERP/CRM,"Banking, Financial Services, Broking"
 Dundas Developers,Programming & Design,"IT-Software, Software Services"
 US IT Recruiter,HR/ Recruitment / IR,"Recruitment, Staffing"
 Sr Odoo Developer - IT Company - ,Programming & Design,"Recruitment, Staffing"
 Junior Aircraft Mechanic (Sub-Inspector) Group 'B' -Airframe,,"Government, Defence"
 Sr. Customer Care Executive,Voice,"IT-Software, Software Services"
 Account Executive,Accounts,"Internet, Ecommerce"
 Sr. Technical Program Manager,Senior Management,"IT-Software, Software Services"
 Software Analyst - Java/selenium Freshers,Programming & Design,"IT-Software, Software Services"
 Management Trainee (Banking Operation),Retail/Personal Banking,"Strategy, Management Consulting Firms"
 SAP FICO-S4 Hana Professional | Invenio Business Solutions,Programming & Design,"IT-Software, Software Services"
Senior Manager - Business Process Excellence,Senior Management,BPO / Call Centre / ITES
 .Net Developer(asp.net),Programming & Design,"IT-Software, Software Services"
 Receptionist,,"Recruitment, Staffing"
 Software Developer,Programming & Design,"IT-Software, Software Services"
 Digital Marketing Manager,Programming & Design,"FMCG, Foods, Beverage"
 Senior System Administrator - l2,Admin/Maintenance/Security/Datawarehousing,"Real Estate, Property"
 Urgent Opening for Assistant Cafe Manager in top Luxury Restaurant,Food & Beverage,"Travel , Hotels , Restaurants , Airlines , Railways"
 Assistant Manager - Chartered Accountant - International GAAP,Accounts,"Accounting, Finance"
 Sr. Technical Writer (contractual Job : 6 Months),QA/Testing/Documentation,"IT-Software, Software Services"
" WFM Lead Associate, BPO MNC, Gurgaon",,"BPO, Call Centre, ITeS"
Citrix Administrator For Noida/chennai,Voice,IT-Software / Software Services
 Sr.manager Accounts( CA Only),Accounts,"Recruitment, Staffing"
